00 IDLOBBY   IDUSER    USERPF_IDS_LOBBY                                                                                              LOBBYDATA                                                                                                                                                                                               DESCRIPTIONHISTORY                                                                                  CREATED_AT     TXT_CRIADO_EM:    06-12-2020 15:56:34 01
99 1         194       {"idsFromLobby":[194]}                                                                                        {"createdAt":"2020-11-23T22:56:13.684","amountTotal":0,"amountCreation":150,"expirationDate":"2020-11-25T22:56:13.684","lobbyDesc":"Morango","lobbyId":1}                                               Morango                                                                                             2020-11-23T22:56:13.735
99 19        215       {"idsFromLobby":[215]}                                                                                        {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T22:30:17.819
99 19        215       {"idsFromLobby":[215]}                                                                                        {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T22:42:20.064
99 19        223       {"idsFromLobby":[217,219,220,221,222,215,223]}                                                                {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:02:11.670
99 19        223       {"idsFromLobby":[217,219,220,221,222,215,223]}                                                                {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:03:11.678
99 19        223       {"idsFromLobby":[217,219,220,221,222,215,223]}                                                                {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:04:11.681
99 19        223       {"idsFromLobby":[217,219,220,221,222,215,223]}                                                                {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:05:11.689
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:06:43.317
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:07:43.328
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:08:43.338
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:09:43.356
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:10:43.363
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:11:43.381
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:12:43.387
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:13:43.406
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:14:43.423
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:15:43.435
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:16:43.451
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:17:43.454
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:18:43.469
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:19:43.479
99 19        224       {"idsFromLobby":[217,219,220,221,222,215,223,224]}                                                            {"createdAt":"2020-12-04T22:30:13.470","amountTotal":0,"amountCreation":150,"expirationDate":"2020-12-06T22:30:13.470","lobbyDesc":"Morango","lobbyId":19}                                              Morango                                                                                             2020-12-04T23:20:43.492
